#interval	bit
0	521520 
100	276080 
200	205360 
300	181840 
400	176240 
500	148640 
600	132880 
700	120800 
800	115680 
900	108480 
1000	114880 
1100	110880 
1200	105840 
1300	102160 
1400	94080 
1500	93520 
1600	86640 
1700	79040 
1800	77040 
1900	75520 
2000	240 
